,job_title,company,location,salary,summary,link
0,Junior Data Scientist Internship,PETSMART,"Phoenix, AZ",,"About the Team:

Are you looking for a fun and rewarding summer internship? At PetSmart, we are committed to developing future business leaders. Join our Advanced Analytics team this summer as a Junior Data Scientist and thrive in a collaborative culture where being the trusted partner to parents and pets in every moment of their lives is priority number one.

About the Job:
What will you do?
Experience the Data Scientist function of the leading pet specialty retailer firsthand while you develop the skills to become successful in the advanced analytics world.
Put your modeling skills to work in regression, optimization, process simulation, and more.
Leave your “paw” print with a project designed to make a true impact on the business.
Present your recommendations and innovative ideas to PetSmart leaders.
Develop and grow your skills with the support of a caring manager and dedicated mentor.

What will you need?
Junior status (graduating December 2020 or May 2021) pursuing a Data Science, Statistics, Science in Analytics, or other related field of study.
Solid critical thinking ability and use of analytical skills.
Excellent written and verbal communication at all levels.
Experience with machine learning algorithms.
Experience with statistical programming language (R or Python).
Proficiency in MS Word, Excel, and PowerPoint is required.
Must be able to produce and present work in a collaborative, team environment.

About the Culture:

What’s in it for you?
10-week paid summer internship!
Small team and start up feel with-in the corporate space.
Connect and socialize with other PetSmart associates early in their career as part of the StartSmart associate resource group.
Make a difference! Volunteer with your fellow interns during the annual “PetSmart Interns Give Back” day.
Pet friendly environment, bring your pets to work!
Enjoy our campus amenities: “Top Dog” gym fitness center, Dog park, Starbucks station, Sit&Stay Café.",https://indeed.com//rc/clk?jk=32a54f7868bd5eef&fccid=b59989803df0669c&vjs=3
1,Data Scientist,Circle K,"Tempe, AZ",,"Circle K is a great place to work! Here is why:

We know that you can work anywhere. However, working at Circle K is the start of something great! While you make it easy for our customers, we focus on you and your development! Our people make us who we are. We want to see you grow, so we put growing together at the forefront of everything we do. It is our duty to provide you with the tools and resources that you need to succeed. Joining Circle K means joining a team that is devoted to you!
As a member of the Enterprise Data & Analytics Team, the Data Scientist is an everyday partner with multiple departments, including Global Marketing, Category Management, Shared Services & Finance, Global Technology, and Business Unit Leadership. This is a unique opportunity to work on a new, growing team within a large organization.
The Data Scientist is responsible for delivering advanced analytics projects that drive business results. The ideal candidate should possess the ability to contribute to all aspects of project work , including interpreting business questions and desired outcomes, selecting the appropriate methodology, data cleaning, exploratory data analysis, model building, and creation of polished deliverables that are suitable for internal and external presentation.
We are looking for an individual who is a proven problem solver with exceptional critical thinking ability. The candidate should have a high sense of curiosity and be comfortable with ambiguity when faced with a difficult challenge. Additionally, the candidate should possess the abilities to collaborate with others and simply and effectively communicate complex concepts with a non-technical audience.
RESPONSIBILITIES/ACCOUNTABILITIES:
Develop advanced analytics and predictive models from design through implementation in the areas of pricing and promotion, marketing, merchandising, and other areas of the business as needed
Utilize data mining and statistical techniques to derive business value from store, product, operations, financial, and customer transactional data
Clearly and concisely explain complex analytical findings to non-analytical peers and business leaders
Provide a strong analytical voice to the rest of the business and be an advocate for using analytics to solve problems and create business value
Conduct ad-hoc analyses as required
Other duties as assigned
KNOWLEDGE, SKILLS AND OTHER QUALIFICATIONS REQUIRED:
Working knowledge of R, Python, or other analytical programming language
Ability to query large data sets using SQL or Spark; experience with cloud-based environments preferred
Experience using Data visualization software such as Tableau or Power BI
Working knowledge of statistical and machine learning techniques such as regression, time series forecasting, clustering, optimization, etc.
Strong interpersonal skills, including the ability to communicate the business benefits of analytics
Availability to travel up to 25% of the time
EDUCATION/TRAINING REQUIRED:
Bachelor’s degree required, preferably with a quantitative focus (Statistics, Business Analytics, Data Science, Math, Economics, etc.)
Master’s degree preferred
1-2 years of experience in a data science/advanced analytics role, or demonstrated ability to perform job functions via academic project/internship experience
Circle K is an Equal Opportunity Employer.

The Company complies with the Americans with Disabilities Act (the ADA) and all state and local disability laws. Applicants with disabilities may be entitled to a reasonable accommodation under the terms of the ADA and certain state or local laws as long as it does not impose an undue hardship on the Company. Please inform the Company’s Human Resources Representative if you need assistance completing any forms or to otherwise participate in the application process.",https://indeed.com//rc/clk?jk=67dafec654e7c111&fccid=9cfe635d4940df97&vjs=3
2,Data Scientist,"Master Electronics, Inc.","Phoenix, AZ",,"Master Electronics has an exciting career opportunity for a Data Scientist that will report to the Vice President of Data Science in Phoenix, AZ. The position involves modeling complex business problems, uncovering insights, and identifying growth opportunities using data science, machine learning, artificial intelligence, data mining, visualization, and statistical analysis. Candidates will collaborate with cross functional teams and external partners to discover and model operational efficiencies that will enable Master Electronics to better serve its customers.

Candidates should be able to effectively answer a wide variety of high business impact questions, while presenting key data science and quantitative insights in a concise and effective manner to a variety of audiences. The candidate must have a high degree of creativity and independence, using a variety of data science algorithms, integrating a wide number of structured and non-structure data sources, with significant Python software development skills, to model and simulate effective solutions to challenging business issues.

How you will spend your time:
Effectively partner with teams to build prediction models to forecast sales, product demand and performance
Build or select the correct algorithms to model customer behavior, purchases, and recommendation systems
Use predictive analytics, machine learning, and artificial intelligence to solve complex business problems
Use descriptive analytics to create reports, dashboards, and pivots to quantify historical performance
Independently solve analytical problems, effectively communicating results to non-technical audiences

We’re excited if you have:
Undergraduate degree from an accredited university in data science, supply chain management, computer science, mathematics/physics, machine learning, operations research, applied to business decision making
3+ years professional experience in modeling and statistical analysis of large (3+ terabytes) data sets
3+ years of experience working using AWS SageMaker, Microsoft SQL Server and Microsoft Power BI
Track record working in large (3+ terabytes) scale databases, data marts, and data warehouses
Proven Python 3 experience developing data science models using Machine Learning and AI

We would prefer you have:
Graduate degree from an accredited university in data science, supply chain management, computer science, mathematics/physics, machine learning, operations research, applied to business decision making
Track record leading and delivering on the design and execution of data science projects
Experience in several of the following areas: statistics, machine learning, recommendation systems, and AI
Deep Python 3 and SQL scripting skills; Functional knowledge of AWS platforms such as S3, Glue, Sagemaker
Advanced skills in Python, Machine Learning, AI, Statistical Modeling, SQL, Data Warehouses, and Hadoop
Extensive Python experience using Sci-Kit, TensorFlow, Matplotlib, Numpy, Pandas, Seaborn, Beautiful Soup

Why Master Electronics:
As a customer focused and driven organization, we offer attractive, competitive compensation with an increase after the 1st and 2nd year of employment in the distribution center and benefits including, medical, dental, life, paid time off, 401k match and an EAP program as well as an opportunity to grow with the company.

Master Electronics has a fast-paced and entrepreneurial environment, which requires a professional, flexible self-starter attitude.

Headquartered in Phoenix, AZ, Master Electronics is a leading global authorized distributor of electronic components. For more than half a century, our family-owned company has remained focused on strong relationships, responsive service and added value. This is how Master Electronics has grown to serve hundreds of thousands of customers in partnership with hundreds of world-class suppliers.

Master Electronics, a leading global authorized distributor of electronic components, is committed to providing equal employment opportunities for all applicants and employees. The Company does not unlawfully discriminate on the basis of race, color, creed, pregnancy, religion, sex, national origin, age, disability, veteran, marital, or any other protected status. The Company also makes reasonable accommodations for disabled employees. Finally, Master Electronics prohibits the harassment of any individual based on their protected status. This policy applies to all areas of employment, including recruitment, hiring, training, promotion, compensation, benefits, transfer, and social and recreational programs.",https://indeed.com//rc/clk?jk=b256e29094239553&fccid=8691f3f7b4d646bd&vjs=3
3,Data Scientist I-III,Blue Cross Blue Shield of Arizona,"Phoenix, AZ 85021 (North Mountain area)",,"Discover business insights, identify opportunities and provide solutions and recommendations to solve business problems through the use of statistical, algorithmic, data mining and visualization techniques.
Level 1
Under close supervision, conduct predictive analyses for population health management, marketing campaign management and forecasting,
Analyze and design solutions using healthcare data
Work with datasets of varying degrees of size and complexity including both structured and unstructured data
Analyze and mine multiple data sources to select statistically valid data samples
Build, test and implement machine learning models by investigating appropriate methods and algorithms Develop analytical datasets and transform fields from data sources as necessary for modeling
Work with other departments to develop research plans to match company goals
Strategize on approaches to develop robust and meaningful analytics Prepare and co-present reports of model performance and business recommendations Assist internal departments with interpretation of results based on the models Pursue expansion of current knowledge and skills
Level 2
Under general supervision conduct predictive analyses for population health management, marketing campaign management and forecasting, Display initiative in research beyond the specific assignment Develop proprietary machine learning algorithms to build customized solutions Prepare and present reports of model performance and business recommendations Lead consultations with internal departments with interpretation of results based on the models Demonstrate good communication skills in order to directly communicate at a consumer level with internal clients Partner with peers to establish, evaluate, and continually improve measurement methodologies, while adhering to nationally accepted analytic and reporting standards Serve as an internal technical and analytic consultant to define business questions and transform data into meaningful and actionable information within a specified timeframe Meaningfully contribution to the area’s workload, considering volume and complexity Pursue expansion of current knowledge and skills Provide self- and peer-review of Level 1
Level 3 Report to a manager who provides minimal supervisory instructions, limited project management, and minimal or limited review of results, beyond pre-release peer review Along with research, create analyses and recommendations that will allow BCBSAZ to meet its goals Deliver business intelligence to clients by applying and demonstrating expertise in the areas of advanced analytics, machine learning, forecasting, data wrangling, and predictive modeling Plan and lead complex projects from inception to completion. Includes working independently on creating timelines, working with other areas to define deliverables, monitoring progress, implementing the project and resolving/monitoring post-implementation issues Communicate (both verbally and in writing) and interprets results, recommendations and abstract concepts to internal and external customers. Anticipate and addresses possible customer questions and concerns Build and maintain close working relationships with internal stakeholders (Account Management teams, Health Services, Provider Network, Marketing, Underwriting, Actuarial, IT) and key external client contacts (Brokers/GBAs, BCBS Association, Blues Plans, Vendors) Produce complex analytic solutions Incorporate strategic planning in all areas of responsibility Train and mentor other data scientists and provide peer review
ALL LEVELS
Each progressive level includes the ability to perform the essential functions of any lower levels and mentor employees in those levels.
The position requires a full-time work schedule. Full-time is defined as working at least 40 hours per week, plus any additional hours as requested or as needed to meet business requirements.
Perform all other duties as assigned.

Employment Requirements

REQUIRED QUALIFICATIONS
Required Work Experience
2 years of experience in applied statistics, data analysis using analytic tools and methodolgies (Lev 1)
4 years of experience in applied statistics, data analysis using analytic tools and methodolgies (Lev 2)
6 years of experience in data analysis using analytic tools using advanced statistical methodologies, machine learning and/or data mining techniques (Lev 3) Required Education
Bachelor’s Degree in informatics, data science, statistics, computer science, mathematics, machine learning, or related field of study (All Levels) Required Licenses
N/A Required Certifications
N/A
PREFERRED QUALIFICATIONS
Preferred Work Experience
2 years of experience in predictive analytics in a healthcare organization (Level 1)
4 years of experience in predictive analytics in a healthcare organization (Level 2)
6 years of experience in predictive analytics in a healthcare organization (Level 3) Preferred Education
Master’s degree in informatics, data science, statistics, research or related field of scientific discipline or equivalent work experience (Level 3) Preferred Licenses
N/A Preferred Certifications
N/A
REQUIRED COMPETENCIES
Required Job Skills (Applies to All Levels)
Intermediate proficiency in database, presentation, spreadsheet and word processing software
General proficiency in mathematical and statistical concepts (Applies to all Levels)
Advanced skills in mathematics and statistics (Levels 2 - 3)
Intermediate understanding of data management principles (Applies to Level 1- 2)
Advanced understanding of data management principles (Level 3)
Basic skill with R, Python, SAS (Level 1)
Intermediate skill with R, Python, SAS or machine learning and data visualization (Level 2 )
Proficiency in R, Python, SAS Enterprise Business Intelligence software and data visualization (Level 3)
Experience with data mining and predictive modeling to include one or more modeling techniques: Logistic Regression, Linear/Non-Linear Regression, Time Series Analysis; Optimization, Simulation and/or Machine Learning (Levels 2-3)
Experience with hypothesis or idea generation and prioritization, exploratory analysis using iterative modeling and tuning, and production integration and delivery of results to ensure adoption (Levels 2-3) Required Professional Competencies (Applies to All Levels)
Broad understanding of health insurance and statistical terms and concepts
Analytical knowledge necessary to generate analytic solutions
Ability to select appropriate statistical methodologies to data sources
Ability to solve problems independently and draw accurate conclusions from available data using basic analytic techniques
Ability to deal with ambiguity and make recommendations with less than complete or conflicting information while maintaining appropriate time management
Ability to maintain confidentiality and privacy
Ability to communicate effectively, both orally and in writing, to all levels in all departments
Ability to summarize technical information to a non-technical audience
Ability to build and maintain productive working relationships with others Required Leadership Experience and Competencies (Applies to All Levels)
N/A

PREFERRED COMPETENCIES
Preferred Job Skills (Applies to All Levels)
Advanced proficiency in database, presentation, spreadsheet and word processing software
General proficiency in mathematical and statistical concepts
Advanced skills in mathematics and statistics (Levels 2 - 3)
Intermediate understanding of data management principles (Applies to Level 1- 2)
Advanced understanding of data management principles (Level 3)
Intermediate skill with R, Python, SAS, Tableau (Applies to Level1)
Advanced skill with SAS Statistical or machine learning techniques (Levels 2 - 3)
Proficiency in R, Python, SAS, Tableau (Levels 2 - 3)
Experience working with highly distributed computing environments such as Hadoop Preferred Professional Competencies (Applies to All Levels)
Project management skill needed to create timelines, track deliverables and progress, resolve issues, and communicate project status Preferred Leadership Experience and Competencies (Applies to All Levels)
N/A",https://indeed.com//rc/clk?jk=4a66d527c9dc6a33&fccid=4fe54963af81755f&vjs=3
4,Sr. Data Scientist,Tuft & Needle,"Phoenix, AZ",,"THE JOURNEY TO YOUR DREAM JOB COULD BE JUST A CLICK AWAY…
In 2012, Tuft & Needle(tn.com) revolutionized the mattress space by turning the focus to the customer with always-honest pricing, an insistence on high-quality products, and world-class customer experience. We started our journey with two software engineers and a dream and today we have grown to a team of more than 175 talented people, working each day to bring the world premium sleep products at an honest cost.

As a Data Scientist, you'll be an important part of the company's decision-making process. You will help us understand how things are related to each other, which approaches are working, and which aren't. You'll also help us maintain our data-infrastructure. This includes our reporting and data management, as well as automated statistical and machine learning tools.

Together, we are radically reshaping how we think about sleep, mattresses, and shopping - and we’re just getting started. Want to join us?
RESPONSIBILITIES:
Write programs to automate analyses and data wrangling
Build machine learning models to forecast and understand customer behavior
Maintain and improve reporting in Looker, Metabase, and R
Explain analyses and discoveries with articles and presentations
REQUIREMENTS:
Strong knowledge of statistics and inference
2+ years writing and maintaining code
2+ years working with SQL
Experience communicating statistical concepts to a broad audience
PREFERRED EXPERIENCE:
Programming in R and/or Python
Managing and organizing a large codebase
Experience with Bayesian Methods
Deep experience in some part of statistics (Ex: time series analysis, experimental design, multivariate analysis, natural language processing, etc.)
Interest in functional style programming
Interest in causal inference
YOU CAN SLEEP BETTER WHEN YOU WORK AT T&N
Our people – You will be working alongside some of the most talented, supportive, savvy individuals out there… people we are so proud to work with. Together, we are shaking things up in the mattress industry and delivering an experience for clients that they would never expect.

Our product – Each team member receives a great bundle of products for themselves. You will too if you join the team! Your friends and family will also have access to a great product discount.

Our benefits - We offer comprehensive health benefits for you, eligible partners and dependents, paid maternity & paternity leave, 401k with a match, a generous vacation plan, and so much more.
Tuft & Needle is proud to be an equal opportunity employer. We will not discriminate against any applicant or employee on the basis of age, race, color, creed, religion, sex, sexual orientation, gender, gender identity or expression, medical condition, national origin, ancestry, citizenship, marital status or civil partnership/union status, physical or mental disability, pregnancy, childbirth, genetic information, military and veteran status, or any other basis prohibited by applicable federal, state or local law.

Your experience is important to us. If you have any questions with your application, please contact our Candidate Experience Team at talent@tuftandneedle.com",https://indeed.com//rc/clk?jk=c072ba38b83c35ba&fccid=49c2e79fe3c54044&vjs=3
5,Data Scientist (HCE),Honeywell,"Phoenix, AZ 85034 (Central City area)",,"Data Scientist (HCE)
Join a team recognized for leadership, innovation and diversity
The future is what you make it.

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers and doers who make the things that make the future.

That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars.

Working at Honeywell isn’t just about developing cool things. That’s why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us make the future?

Are you a leader in the data science community who is looking to lead the application of data science techniques to new, innovative product and service offerings?

Honeywell International is a $40 billion diversified Fortune 100 leader with more than 130,000 employees in 100 countries around the world. We invent and manufacture technologies that address some of the world’s toughest challenges linked to global macro trends like energy efficiency, clean energy generation, safety and security, globalization, and customer productivity. We are building a world that’s safer and more secure, more comfortable and energy efficient, more innovative and productive.

Honeywell Aerospace has approximately 40,000 employees around the world and 2015 revenue of $15 billion. Thousands of Honeywell Aerospace technologies, products and services are found on virtually every commercial, defense and space aircraft worldwide.
25 Communicate results of the analyses in a clearly and effective manner to stakeholders

25 Leverage tools, processes and procedures to create, manipulate, and manage very large data sets

25 Design experiments, test hypotheses, and build models/prototypes

25 Work with product managers and engineers to define, design, and develop solutions


YOU MUST HAVE
Master’s degree in computer science, applied mathematics, statistics, software engineering, physics, or related discipline in marketing and analytics
1+ years of data science work experience, including a demonstrated high-level of proficiency in applying data techniques to solving customer problems
1+ years of experience in machine learning, predictive analytics, and statistical modeling
1+ years of experience in programming and scripting languages
1+ years of experience in data visualization (e.g. Tableau, Qlik, Ploty)
WE VALUE
PhD in computer science, applied mathematics, statistics, software engineering, physics, or related discipline in marketing and analytics
Ability to communicate and present complex quantitative analyses in clear and precise manner to leadership team
Experience working with large datasets using Hadoop framework and tools']
Previous experience moving prototypes to production environment and optimizing models in production environment
Condition monitoring and predictive failures experience
Aerospace knowledge or experience
Due to US export control laws, must be a US citizen, permanent resident or have protected status. Exempt
INCLUDES
Relocation Provided
Continued Professional Development
ADDITIONAL INFORMATION
Job ID: req207013
Category: Engineering
Location: 1944 E Sky Harbor Circle, Phoenix, AZ 85034 USA
Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status.",https://indeed.com//rc/clk?jk=4ed11a7716d936f1&fccid=50208b5bf45ee3b8&vjs=3
6,Junior Data Analyst,AppZen,"Tempe, AZ",,"AppZen delivers the world’s leading AI platform for modern finance teams. Starting with business spend, we automate manual process, uncover problems, and optimize decision making for enterprises around the globe, including one-fourth of the Fortune 500. Our platform combines patented deep learning, computer vision, and semantic analysis with intelligence from thousands of online data sources to understand financial transactions in business context and make decisions before those transactions happen. AppZen is a must have for CFOs and their teams to reduce spend, achieve compliance, and streamline process.

We’ve taken off this year! Since we released our platform in 2016, over 1,500 enterprises have standardized on AppZen, including three of the top ten banks, four of the top ten media companies, three of the top ten pharmaceutical manufacturers, two of the top five aerospace companies, and five of the top ten software providers. We were a Gartner Cool Vendor last year, have been recognized as one of the fastest-growing technology companies in the market, and we just announced $50 million in Series C funding.

AppZen has developed the world’s first artificial intelligence (AI) solution for business process automation. AppZen’s AI for business solutions uses patent-pending Natural Language Processing, Computer Vision and machine learning algorithms to analyze data and automate functions. Our technology is used to automate business processes for both small and large enterprises, including fortune 50 organizations. The data science-based technology automatically detects accidental and intentional fraud, providing real-time compliance to IRS rules, FCPA regulations, and general company policies.

Passionate about data and want to ensure the best customer experience? We are
looking for people who can ensure success with our fast growing list of Fortune 50 customers.
This position’s primary focus is analyzing customers data and working with our
Implementation, Customer Success and Engineering teams to ensure customers are configured for success. If you are looking to make an immediate impact this is the role
for you!
About You:
You love crunching numbers and looking for key trends to drive business value.
You want to help our customers get the most out of AppZen’s audit solution and get joy out of watching a customer really succeed.
You have a finely tuned sense of urgency, you know when you can fix something, and when and how to ask for help.
Responsibilities:
Analyzing customers data to identify areas of improvement within their configuration.
Presenting data insights and potential solutions to teams within the Customer Success org.
Working cross functionally to Identify and provide solutions to internal business process issues that impact the customer experience.
Communicate suggested product improvements to the development team.
Must-Have:
Exceptional attention to detail and communication skills.
Ability to understand our business applications quickly with little hands on training.
Bonus Points: Working understanding of fraud and compliance
Proficiency with Microsoft Office Suite",https://indeed.com//rc/clk?jk=e48eb622a2591bf3&fccid=232d2677a5ec1087&vjs=3
7,Process Analyst/Data Scientist Internship,"Master Electronics, Inc.","Phoenix, AZ",,"Master Electronics has exciting opportunities for several Process Analyst/Data Scientist Internships that will report to the Vice President of Data Science in Phoenix, AZ. As a member of the Master Electronics Data Science Team, you will be a process analyst intern that will partner with our business teams, documenting and influencing key process decisions that will optimize the Master Electronics' customer journey.

The intern program is a ten-week assignment, led by the Master Electronics Data Science team, where each intern works in a specific project. Each project leverages the intern's supply chain management, analytics, academic, and student project work skills to solve a business problem. Interns will have access to on-the-job training opportunities, networking, social opportunities, and exposure to the improvement of decision-making workflow processes with senior leadership at Master Electronics.

To be considered for the position, candidates must possess the minimum qualifications stated below. Preferred qualifications are in addition to the minimum qualification requirements, which are considered a plus factor in identifying top candidates.

The Analyst/Data Scientist Internship is an entry-level position with a corresponding compensation. The internship projects are specific to Master Electronics business needs and may vary in size, complexity, and business domain.

A successful candidate will demonstrate:
Ability to independently model changes in process outcomes using mathematical, statistical, or Python techniques
Strong ability to document and improve supply chain and business processes that optimize process outcomes
Ability to work in a dynamic, results and team-oriented environment
Strong written and verbal communication skills
Excellent problem-solving and business analysis skills

Minimum Qualifications
Students pursuing a:
Bachelor's degree in data science, supply chain management, computer science, mathematics/physics, machine learning, operations research, applied to business decision making
Skills and experience in supply chain and business process creation using:
Unified Modeling Language (UML) and
Business Process Model and Notation (BPMN 2) frameworks
Workflow process diagraming experience using Draw.io, Gliffy, and Microsoft Visio
Business and process modeling analytical skills using Microsoft Excel and Power Pivots
Experience creating balanced scorecards using Microsoft Power BI and Microsoft Excel

Preferred Qualifications
Students pursuing a:
Graduate degree in data science, supply chain management, computer science, mathematics/physics, machine learning, operations research, applied to business decision making with a GPA of 3.5 (out of 4 points) or higher
Skills and experience in supply chain and business process creation using:
Observation and engagement of audiences in requirements gathering sessions to extract and prioritize user needs
Visualization of as-is and to-be business processes (process mapping) to model performance improvements
Quantitative modeling of as-is and to-be business processes using statistics, simulation algorithms, and Python 3
Experience with User Acceptance Testing and Change Management processes

Why Master Electronics?

Master Electronics has a fast-paced and entrepreneurial environment, which requires a professional, flexible self-starter attitude.

Headquartered in Phoenix, AZ, Master Electronics is a leading global authorized distributor of electronic components. For more than half a century, our family-owned company has remained focused on strong relationships, responsive service and added value. This is how Master Electronics has grown to serve hundreds of thousands of customers in partnership with hundreds of world-class suppliers.

Master Electronics, a leading global authorized distributor of electronic components, is committed to providing equal employment opportunities for all applicants and employees. The Company does not unlawfully discriminate on the basis of race, color, creed, pregnancy, religion, sex, national origin, age, disability, veteran, marital, or any other protected status. The Company also makes reasonable accommodations for disabled employees. Finally, Master Electronics prohibits the harassment of any individual based on their protected status. This policy applies to all areas of employment, including recruitment, hiring, training, promotion, compensation, benefits, transfer, and social and recreational programs.",https://indeed.com//rc/clk?jk=1ab039267afcb975&fccid=8691f3f7b4d646bd&vjs=3
8,"Data Scientist I - Phoenix, AZ",Freeport-McMoRan Copper & Gold,"Phoenix, AZ",,"Freeport-McMoRan is a premier U.S.-based natural resources company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is the world’s largest publicly traded copper producer, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.


We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers for our employees. We encourage you to take some time to explore your career opportunities at Freeport-McMoRan.


You will be an instrumental member of our vision for analytics-driven mining at Freeport. We have gathered vast data sets from across the mining ecosystem by deploying sensor technology and the data infrastructure to support it. Now, we are in a position to use the richest data pool in our history to solve complex and meaningful problems, so our team is growing and seeking bright individuals eager to be a part of the journey.
Contribute to the deployment of ensemble machine learning methods, deep learning, and advanced optimization techniques to drill into our toughest challenges.
Leverage sharp research skills to test hypotheses and draw insights to support our goal of industry-leading, resource-efficient copper mining.
Utilize modern cloud technologies, such as Microsoft Azure, to deliver innovative analytics solutions at scale and visualize their impact for leadership.
Actively support the build, implementation, and maintenance of practical, analytical assets that effectively solve business problems using statistical methodologies.
Minimum Qualifications

Bachelor’s degree in a related field AND Five (5) years of relevant work experience OR
Master’s degree in a related field AND three (3) years of relevant work experience OR
Ph.D. in a related field and one (1) years of relevant work experience

Preferred
You are an analytics professional who enjoys grappling with vast data sets, tapped from our long-standing investment in collecting and cleaning data.
You are a quantitative enthusiast who can build complex predictive models and unlock their value through Python, R, SQL and / or other rigorous analytical environments.
You are a tested researcher with a background in breaking down problem statements into their root causes and tailoring solutions based off of your findings.
Strong oral and written communication skills in English language
Learn about our current initiative, Americas' Concentrator, and how you could be selected to join our team of Data Scientists that will be essential key players in transforming the Mining industry.

Criteria/Conditions
Ability to understand and apply verbal and written work and safety-related instructions and procedures given in English
Ability to communicate in English with respect to job assignments, job procedures, and applicable safety standards
Must be able to work in a potentially stressful environment
Position is in busy, non-smoking office located in Phoenix, AZ
Location requires mobility in an office environment; each floor is accessible by elevator and internal staircase
Travel required up to 50%
Occasionally work may be performed in a mine, outdoor or manufacturing plant setting
Must be able to frequently sit, stand and walk
Must be able to frequently lift and carry up to ten (10) pounds
Personal protective equipment is required when performing work in a mine, outdoor, manufacturing or plant environment, including hard hat, hearing protection, safety glasses, safety footwear, and as needed, respirator, rubber steel-toe boots, protective clothing, gloves and any other protective equipment as required
Freeport-McMoRan promotes a drug/alcohol free work environment through the use of mandatory pre-employment drug testing and on-going random drug testing as per applicable State Laws
Freeport-McMoRan has reviewed the jobs at its various office and operating sites and determined that many of these jobs require employees to perform essential job functions that pose a direct threat to the safety or health of the employees performing these tasks or others. Accordingly, the Company has designated the following positions as safety-sensitive:
Site-based positions, or positions which require unescorted access to site-based operational areas, which are held by employees who are required to receive MSHA, OSHA, DOT, HAZWOPER and/or Hazard Recognition Training; or
Positions which are held by employees who operate equipment, machinery or motor vehicles in furtherance of performing the essential functions of their job duties, including operating motor vehicles while on Company business or travel (for this purpose “motor vehicles” includes Company owned or leased motor vehicles and personal motor vehicles used by employees in furtherance of Company business or while on Company travel); or
Positions which Freeport-McMoRan has designated as safety sensitive positions in the applicable job or position description and which upon further review continue to be designated as safety-sensitive based on an individualized assessment of the actual duties performed by a specifically identified employee.

Equal Opportunity Employer/Protected Veteran/Disability",https://indeed.com//rc/clk?jk=0e5894089c9fa1be&fccid=2e1d4d51c6f0e2bb&vjs=3
9,Data Scientist,Cyient,"Phoenix, AZ",,"Celebrating its twenty-fifth anniversary in 2016, Cyient is an acknowledged leader in engineering design services, design-led manufacturing, networks and operations, data transformation, and analytics. We collaborate with our clients to help them achieve more and together shape a better future. We call it Designing Tomorrow Together.
Our industry focus includes aerospace, defense, rail transportation, off-highway & industrial, power generation, mining, oil & gas, communications, utilities, geospatial, semiconductor and medical technology. We align closely with the business needs, goals, culture, and core values of our clients. This reflects in the deep, long-standing relationships we have developed and sustained with some of the leading names in these industries.
LOCATION
Phoenix
JOB DESCRIPTION SUMMARY
JOB DESCRIPTION
Data Scientist - Phoenix, AZ
The position creates new footprint for data-driven innovation and value for our customers and prospects while providing analytical capabilities. You would be part of core team that would help design and develop advanced analytics solutions across functional areas as per client requirement/opportunities. Key requirements include an ability to communicate complex quantitative analysis with a lucid, precise, clear and actionable insight. You should be experienced in solving analytical problems using quantitative approaches. You would also invest your time in developing new practices and methodologies using statistical methods, machine learning and predictive models under mentorship from experts across industry.
Key Responsibilities
Identify and manage the analysis and interpretation of clients' internal and external data to drive decision making.
Query databases and perform statistical, mathematical analysis
Work directly with customer teams to help design and generation of reporting frameworks that provide insight to the performance of clients’ business programs.
Create re-usable implementations of statistical tests and models (R, Python, SAS, SPSS etc.) using the available technologies.
Assist in customer engagement management, project scoping, timeline management, and results documentation to ensure professional relationship management.
Requirements:
Must have sound understanding of aerospace and aerospace systems particularly in design, manufacturing, test, operations, supply chain, aftermarket and MRO.
Must be strong on learning methods, data analytics, R/Python and Tableau.
Good in algorithm development with programming languages.
Must have strong understanding of statistics and machine learning.
Prior experience in R or Python and data analytics is preferred.
MS/PhD in Mechanical, Electrical, Computer Science or Aerospace Engineering from an accredited school
3+ years of applicable experience
US citizen/Green Card Required
Cyient Inc. is an equal opportunity employer. If you are a team leader, self- motivated and willing to be a part of a global company apply now. Please visit www.Cyient.com to learn more about our company.",https://indeed.com//rc/clk?jk=330b9ae5014a606b&fccid=48337f40cc18bca7&vjs=3
