,job_title,company,location,salary,summary,link
0,Data Scientist,RISIRISA,"New York, NY",,"As a member of RISIRISA Team, you will be joining an interdisciplinary group of scientists, mathematicians, designers, and engineers that work with commercial,…",https://indeed.com//rc/clk?jk=de0885f57b2e2f59&fccid=570de3d15b9bbb97&vjs=3
1,"Data Scientist, Analytics & Inference",Codecademy,"New York, NY",,"Codecademy has helped over 45 million people from around the world upgrade their careers with engaging, accessible, and flexible education on programming and…",https://indeed.com//rc/clk?jk=a13ad4c173756424&fccid=b9d4e9eceb3ff4c0&vjs=3
2,Data Scientist,RiVi Consulting Group,"New York, NY",,"Experience in relevant areas of computer science, including data engineering, applied machine learning, deep learning, NLP or related disciplines.",https://indeed.com//rc/clk?jk=4549c789057aa8f0&fccid=c6740ca0f8a588b9&vjs=3
3,Data Scientist,Booz Allen Hamilton,"New York, NY 10036",,"Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by IoT, machine-learning, and…",https://indeed.com//rc/clk?jk=ae2392e7551b74c7&fccid=4e041af1d0af1bc8&vjs=3
4,Data Scientist,Tradeweb Markets LLC,"New York, NY 10036",,Responsible for helping build quantitative data models for Credit products. Develop data tools to help optimize large data sets for internal and client use.,https://indeed.com//rc/clk?jk=f600c7d83c14e3e5&fccid=368c8a280b1e8cde&vjs=3
5,"Data Science Summer 2020 Internships – New York, NY",NBCUniversal,"New York, NY",,"Unlike a traditional internship, the Data Science Practica embeds future Data Scientists and Data Engineers in ongoing projects within NBCUniversal.",https://indeed.com//rc/clk?jk=9919d4700f217000&fccid=35d653c09c2712b6&vjs=3
6,"Data Scientist, Forecasting",Spotify,"New York, NY 10011 (Chelsea area)",,We seek an exceptional Data Scientist to join our Forecasting team in New York. This individual will contribute to the development of cutting-edge models to…,https://indeed.com//rc/clk?jk=41922d3ad138c2db&fccid=fe404d18bb9eef1e&vjs=3
7,Data Analyst / Data Scientist,Defined Clarity,"New York, NY",,We have a client that is looking for a data scientist to add to its team. This position is for a Fortune 50 company that is based in Philadelphia.,https://indeed.com//rc/clk?jk=f3196a8bc16ce8ee&fccid=fd3bad61fc50422e&vjs=3
8,Data Scientist,National Debt Relief,"New York, NY 10004 (Financial District area)",,"National Debt Relief (NDR) is currently seeking an inquisitive, highly motivated, and creative Data Scientist who is passionate about helping customers get out…",https://indeed.com//rc/clk?jk=bfdbc9e51b1e2f04&fccid=27ddc4a519a697f9&vjs=3
9,Data Scientist 2,Oracle,"New York, NY 10022 (Midtown area)",,"We help brands and media companies push the envelope on privacy-friendly models of advertising, help them make sound product decisions that involve running…",https://indeed.com//rc/clk?jk=e68945c8eb6d19e7&fccid=cd22d01053af7669&vjs=3
10,Data Scientist,Butterfly Network,"New York, NY",,We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. 3 + years of data science experience.,https://indeed.com//rc/clk?jk=b41ba70677cff1cd&fccid=f34adc12ba09e47f&vjs=3
