job_title,company,location,salary
"Full Stack Artificial Intelligence Architect, Manager - Applied Artificial Intelligence",Deloitte,"Philadelphia, PA 19103","$100,000 - $200,000 a year"
Data Scientist - Forecasting,goPuff,"Philadelphia, PA",$13 - $14 an hour
Behavioral Scientist/ Scientific Data Analyst*,Northrop Grumman,"Atlanta, GA","$93,282 - $121,264 a year"
Data Science - NLP,Third Republic,"Atlanta, GA 30301 (Buckhead area)","$100,000 - $160,000 a year"
Data Scientist,Grid Dynamics,"Atlanta, GA",$60 - $70 an hour
Data Scientist Job,AGCO,"Duluth, GA 30096","$110,231 - $143,304 a year"
Data Decision Scientist - New Products,Purchasing Power,"Atlanta, GA 30309 (Midtown area)","$77,382 - $128,920 a year"
Data Scientist,HD Supply,"Atlanta, GA 30339","$44,223 - $57,492 a year"
Principal Data Scientist,ITL USA,"Atlanta, GA",$60 - $70 an hour
Data Scientist – Global Identity and Fraud,Equifax,"Atlanta, GA 30309 (Midtown area)","$77,382 - $128,920 a year"
Cyber Security Consultant – Big Data Platforms,EY,"Alpharetta, GA 30009","$77,382 - $128,920 a year"
"Data Scientist, New Graduate (2020)",Duolingo,"Pittsburgh, PA","$46,644 - $76,440 a year"
Sr. Data Scientist,FedEx Services,"Coraopolis, PA",$37.40 an hour
Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Pittsburgh, PA",$27.43 - $46.22 an hour
Data Scientist I - (Part-time),"Columbus Technologies and Services, Inc.","Pasadena, CA 91101","$80,000 - $100,000 a year"
Data Scientist,"Advanced Core Concepts, LLC","Torrance, CA 90505","$6,249 - $12,100 a month"
Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.","Santa Monica, CA","$1,500 a month"
Data Science Project Lead,Cybernetic Search,"Los Angeles, CA",$10 an hour
Business Analyst - Data Sciences and Advanced Analytics,VMware,"Austin, TX","$4,301 - $5,671 a month"
Research Scientist - Machine Learning for Autonomous Driving Behavior,Bosch Group,"Austin, TX 78712 (University Of Texas area)","$4,917 - $6,489 a month"
"Senior Software Development Engineer, Cloud-Scale Machine Learning Acceleration",Annapurna Labs (U.S.) Inc.,"Austin, TX","$70,000 - $110,000 a year"
Machine Learning Engineer,Test Company,"Austin, TX 78703","$115,000 - $125,000 a year"
Data Scientist,Cloudflare,"Austin, TX","$157,000 - $191,000 a year"
Director of Research and Statistics,"Far Harbor, LLC","Austin, TX 78701 (Downtown area)","$118,000 - $152,000 a year"
Director of Research and Statistics,"Far Harbor, LLC","Austin, TX 78701 (Downtown area)","$118,000 - $152,000 a year"
Director of Research and Statistics,"Far Harbor, LLC","Austin, TX 78701 (Downtown area)","$118,000 - $152,000 a year"
Data Scientist (Jr. to Sr. Level),Piper Companies,"San Francisco, CA 94107 (South Of Market area)","$120,000 - $220,000 a year"
Data Scientist (Jr. to Sr. Level),Piper Companies,"Portland, OR 97214 (Buckman area)","$100,000 - $200,000 a year"
Data Analyst/Data Scientist,Cascade Data Labs,"Portland, OR 97202 (Reed area)","$60,000 a year"
Data Scientist (Automotive / IoT Connected Products),ConMet,"Portland, OR",$30 - $43 an hour
Data Scientist (Automotive / IoT Connected Products),ConMet,"Portland, OR",$30 - $43 an hour
Data Scientist (Automotive / IoT Connected Products),ConMet,"Portland, OR",$30 - $43 an hour
Data Scientist (Automotive / IoT Connected Products),ConMet,"Portland, OR",$30 - $43 an hour
Data Scientist (Automotive / IoT Connected Products),ConMet,"Portland, OR",$30 - $43 an hour
Data Scientist (Automotive / IoT Connected Products),ConMet,"Portland, OR",$30 - $43 an hour
