,job_title,company,location,salary,summary,link
0,Data Scientist,Dow Jones,"New York, NY 10176 (Murray Hill area)",,"By selecting “Apply” above, you indicate you have read and acknowledge the Dow Jones Applicant Privacy Notice and Dow Jones Cookie Policy , including data transfers as described in the Policy.
Job Description:
We are looking for a data scientist to join the Data Science & Analytics team for The Wall Street Journal’s Membership group. In this role, you will lead our efforts in machine learning and product analytics, working on the development and refinement of critical models for our business—including the propensity model behind WSJ’s dynamic paywall. Additionally, you will serve as an evangelist for analytics within our organization and develop metrics for measuring engagement within our products.
The role will require a strong understanding of data wrangling, log-level usage data, and production models. You will need strong organization skills, and will oversee the execution of large scale data projects. An interest in best-in-class design and engineering, as well as visualization and storytelling, will also be critical to your success in this role.
Requirements:
You have at minimum bachelor’s degree in information systems, computer science, mathematics, data analytics, data science, or a related quantitative discipline. Applicants with strong technical experience and a professional background in media are also encouraged to apply.
At least 2-5 years of experience working in a data-related role is preferred.
You have strong coding skills in R and/or Python and understand version control software (git/GitHub).
You have a mastery of analytics tools (SQL, Tableau, Adobe/Google Analytics).
You are well versed in the fundamentals of statistics and have a working understanding of machine learning algorithms and their applications.
You have an entrepreneurial attitude toward work and sweat the details.
You have an interest in continued learning and stay well versed in new technologies that can be applied to your work.
Dow Jones , Making Careers Newsworthy
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets .
Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, please reach out to us at TalentResourceTeam@dowjones.com . Please put “Reasonable Accommodation"" in the subject line.
Business Area: WSJ MEMBERSHIP GROUP
Job Category: Sales Ops/Planning/Support Group
About Us
Dow Jones is a global provider of news and business information, delivering content to consumers and organizations around the world across multiple formats, including print, digital, mobile and live events. Dow Jones has produced unrivaled quality content for more than 125 years and today has one of the world’s largest news gathering operations globally. It produces leading publications and products including the flagship Wall Street Journal, America’s largest newspaper by paid circulation; Factiva, Barron’s, MarketWatch, Financial News, DJX, Dow Jones Risk & Compliance, Dow Jones Newswires, and Dow Jones VentureSource.Dow Jones is a division of News Corp (NASDAQ: NWS, NWSA; ASX: NWS, NWSLV).
If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.
Req ID: 18133",https://indeed.com//rc/clk?jk=67aa3eb52f02d7a1&fccid=d2621f51dde471d3&vjs=3
1,"Data Scientist, Advertising","Amazon.com Services, Inc.","New York, NY",,"MS with 2+ years of industry experience or Bachelors with 5+ years of experience in Quantitative field (CS, ML, Mathematics, Statistics, Physics)3+ years of experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, SAS, Matlab)Experience in creating data driven visualizations to describe an end-to-end systemHighly skilled in data and math/statistical methods (i.e. modeling, algorithms)Evidence of using of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc. in data analysis projects

Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of advertising products that drive discovery and sales. Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products. We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.

Major responsibilities include:

Translate / Interpret:
Translate business questions and concerns into specific quantitative questions that can be answered with available data using sound methodologies. In cases where questions cannot be answered with available data, work with engineers to produce the required data.
Measure / Quantify/Expand
Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance.Analyze historical data to identify trends and support decision making.Improve upon existing methodologies by developing new data sources, testing model enhancements, and fine-tuning model parameters.Provide requirements to develop analytic capabilities, platforms, and pipelines.Apply statistical or machine learning knowledge to specific business problems and data.
Explore / Enlighten
Formalize assumptions about how our systems are expected to work, create statistical definition of the outlier, and develop methods to systematically identify these outliers. Work out why such examples are outliers and define if any actions needed.Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes.
Make Decisions or Recommendations
Build decision-making models and propose solution for the business problem you definedConduct written and verbal presentation to share insights and recommendations to audiences of varying levels of technical sophistication.Utilize code (python or another object oriented language) for data analyzing and modeling algorithms

Depth and breadth in quantitative knowledge. Excellent quantitative modeling, statistical analysis skills and problem-solving skills. Sophisticated user of statistical tools.Experience processing, filtering, and presenting large quantities (Millions to Billions of rows) of dataCombination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organizationDemonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environmentExcellent verbal and written communication skills with the ability to effectively advocate technical solutions to research scientists, engineering teams and business audiencesAbility to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationsDemonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environmentExperience in advertising is a plus
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",https://indeed.com//rc/clk?jk=98daba2ca8fbc8be&fccid=fe2d21eef233e94a&vjs=3
2,"Data Scientist, Analytics & Inference",Codecademy,"New York, NY",,"Hello, World! Codecademy has helped over 45 million people from around the world upgrade their careers with engaging, accessible, and flexible education on programming and data skills. We provide over 200 hands-on interactive lessons ranging from Python to R to Javascript and everything in between. Our learners have gone on to start companies, new jobs, and new lives thanks to what they've learned with Codecademy, and we're thrilled to be working to take that impact to the next level.

Codecademy was started in 2011 by two college students in a dorm room at Columbia that were frustrated by the huge gap between education and employment. A few years later, we are a rapidly growing, diverse team of 75+ in SoHo, NYC. We've raised over $40m in venture capital funding from top investors including Union Square Ventures, Kleiner Perkins, Naspers, Y Combinator, and more.

If you want to help build a business that impacts tens of millions of people each year and helps them lead better lives, join us!

--------------
WHAT YOU'LL DO
--------------

As a Data Scientist focused on Analytics and Experimentation, you will work on an impactful team to analyze our millions of learners. We capture terabytes of data on how users engage with our platform. As Codecademy continues our rapid growth, we want to build a data-informed culture that uses hypothesis testing, experimentation, and exploratory analysis to guide our decision-making process.

You will join a small but growing team of Data Scientists. Our work is in high-demand from all corners of Codecademy. We work on a variety of problems and have a real impact on the business and product. If you have a proven background in data and you are excited about making code education accessible, we want to hear from you!


Apply exploratory data analysis and causal inference to answer complex questions about our users.
Collaborate across teams to help scope out analyses, through a combination of experimentation (A/B testing) and quantitative user research.
Design experiments and evaluate results to test and iterate on new product ideas.
Perform deep dives into our data to build understanding around our business.
Work with our data science and engineering teams to maintain data integrity.
Mentor and consult with a cross-functional team of data scientists, engineers, and product managers.

----------------
WHAT YOU'LL NEED
----------------


3+ years of industry experience in a data science, analytics, or research role. You have strong data intuition and knowledge of using data science best practices to drive impact.
Expert SQL - we use Redshift. Able to write clean and efficient queries on massive datasets.
Applied experience with statistical programming languages - R or Python preferred.
Understanding of statistical methods and when to use them (hypothesis testing, experiment design, sampling).
Strong written and verbal communicator. Comfortable working with loosely defined research problems.

----------------------------
WHAT WILL MAKE YOU STAND OUT
----------------------------


Background in experimentation and measurement. We're looking to streamline our experimentation reporting framework and would love your help.
A workflow involving reproducible methods and version control - Github, Docker.
Experience automating dashboards with business intelligence tools - Looker, Tableau.
Passionate about teaching the world to code. Empathy for our learners, such as a background in education or past experience using our site.

---------------------------------------
Interesting questions you might work on
---------------------------------------


What are some different types of patterns in user behavior?
What do we do when we are unable to conduct an experiment?
Can we predict whether a learner will renew their subscription?
How do we improve the relevance of our course recommendations?
How can we scale our existing processes? (experiment reporting framework, forecasting)

At Codecademy, we are committed to teaching people the skills they need to upgrade their careers. Codecademy aims to educate a richly diverse demographic of learners with our product and in order to accomplish this, we believe our team should reflect that rich diversity. Our company celebrates diversity in all of its forms-- race, gender, color, national origin, marital status, sexuality, religion, veteran status, age, ability, disability status-- and works to create an inclusive workplace where people of all backgrounds and beliefs are empowered to better their futures.",https://indeed.com//rc/clk?jk=a13ad4c173756424&fccid=b9d4e9eceb3ff4c0&vjs=3
3,Data Scientist,Booz Allen Hamilton,"New York, NY 10036",,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by IoT, machine-learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges.
We have an opportunity for you to use your leadership and analytical skills to improve Booz Allen’s commercial practice. You’ll work closely with clients to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You’ll mentor teammates, conduct data analysis and modeling, design data-driven solutions and approaches for clients, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help our commercial security clients make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in commercial Cybersecurity.
Empower change with us.
You Have:3+ years of experience with data science, mathematics, statistics, CS, economics, or data-driven problem-solvingExperience with conducting analytics, data transformation, or visualization using tools, including Python, Java, JavaScript, or RExperience in collaborating with multi-disciplinary teamsExperience with working in an Agile development environment, including providing analytics or CS supportAbility to operate independently and manage staffAbility to travel extensively up to 75% of the timeBA or BS degree

Nice If You Have:Experience with Cybersecurity or fraud domains preferredExperience in a consulting or client-facing environmentPossession of excellent oral and written communication skills, including using presentation expertise to convey complex ideas to client and internal staffPossession of excellent problem-solving skills, including in a collaborative environmentMA or MS degree
Build Your Career:
At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you can expect:
access to online and onsite training in data analysis and presentation
methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk
a chance to change the world with the Data Science Bowl—the world’s premier data science for social good competition
participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government
You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications? Take advantage of our tuition assistance, onsite boot camps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want, as you chart your own course for success.
We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.",https://indeed.com//rc/clk?jk=ae2392e7551b74c7&fccid=4e041af1d0af1bc8&vjs=3
4,Data Analyst / Data Scientist,Defined Clarity,"New York, NY",$65 - $75 an hour,"We have a client that is looking for a data scientist to add to its team. This position is for a Fortune 50 company that is based in Philadelphia. This is not a remote position.

Expertise in SQL Development.Call Center or Customer care data experience a plus.Must be able to write SQL queries and must have experience with data extraction
and ETL.
Experience with Teradata and SQL Server DatabasesR Studio and Python scripting is a plus.Communication and presentation skills are a must as you will have to present to key stakeholders.Tableau analysis and dashboard development is required.

A minimum of three years professional-level SQL programming experience in a
Windows and Linux environment.
A Computer Science or Mathematics degree.Outstanding problem-solving skills.Ability to develop and deliver power point presentations.Knowledge of shell scripts and other languages including Java, Python or Perl is a
plus.",https://indeed.com//rc/clk?jk=f3196a8bc16ce8ee&fccid=fd3bad61fc50422e&vjs=3
5,Business Data Scientist - AdTech,Dailymotion,"New York, NY",,"Job Description

Are you someone with a passion for digging into large distributed pools of data, unearthing insights, and transforming them into a visually compelling form that appeals both to technical and non-technical audiences? Then this is the job for you!
On a daily basis, you will be responsible for:
Performing data analysis on products managed by Dailymotion’s AdTech tribe, including our SSP that serves billions of requests daily, and extract actionable insights that will be used to drive decisions across the business
Statistically validating and A/B testing hypotheses generated by Business, Product and Data Science teams.
Driving the collection of new data that would help build the next generation of algorithms (E.g. audience segmentation, contextual targeting, bidder behavior monitoring)
Building easy to use dashboards (E.g. Tableau) to help visualize insights and KPIs interactively
Automating analysis into monitoring and alerting tools to continuously drive value for business owners
Proactively owning the end-to-end delivery of projects, from design, to development, testing, and operations.

Qualifications

Bachelor’s degree, or higher, in Business, Finance, Statistics, or related field.
3 years of business / data analysis experience
Previous ad-tech experience (required)
 Extensive experience solving analytical problems using quantitative approaches
Comfortable with manipulation and analysis of complex, high volume, high dimensional data from varying sources (E.g. SQL, AWS/GCP, Excel)
Solid Experience of Data Visualization Tools (E.g. Tableau suite)
Strong intellectual curiosity and ability to structure and solve difficult problems with minimal supervision
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner in English. French is a plus.
A background in Machine Learning and Statistics is a plus
Programming in Python is a plus
Additional Information

Location: New York
Type of contract: Full-time
Start Date: ASAPFlexible time off, vacation, holidays, sick-leave so you can take time off when you need toFitness club membership to NY Health & Racquet Club100% healthcare coverage starting on day 1Commuter benefits401k ContributionPaid parental leaveFully stocked kitchens with free snacks and drinks
If you want to explore Dailymotion culture a little further please check out:
1./ Our BuiltIn page: https://www.builtinnyc.com/company/dailymotion
2./ Our Recent Global Hackathon in November 2018. https://www.dailymotion.com/video/x70val9
3./ Welcome to the Jungle page: https://www.welcometothejungle.co/companies/dailymotion/team
Dailymotion is a global champion of diversity and inclusion. We pride ourselves in being an equal opportunity employer that provides an environment of mutual respect",https://indeed.com//rc/clk?jk=ed7d5db4606fbf02&fccid=26e916214f939c5b&vjs=3
6,"Data Scientist, Forecasting",Spotify,"New York, NY 10011 (Chelsea area)",,"We seek an exceptional Data Scientist to join our Forecasting team in New York. This individual will contribute to the development of cutting-edge models to predict Spotify’s future user growth and content consumption. The output of your models will serve as the basis for the company’s financial forecast as well as provide context for business performance to both internal and external stakeholders. Your work will also help the team create a time series forecasting infrastructure that can be leveraged throughout the company. Above all, you will be at the nexus of data science and business at one of the most innovative companies in the world.

In addition to possessing strong technical background of their own, the ideal candidate will be a natural communicator who is able to explain complex statistical frameworks to business and engineering teams in both New York and Stockholm. We also have a strong preference for candidates with experience in analyzing and forecasting time series. Accompanying this broad set of responsibilities is exposure to many functional areas, as well as senior management, across Spotify.

What you’ll do

Support the production of Spotify’s public-facing user growth estimates on a quarterly basis.
Develop scalable solutions for forecasting Spotify’s growth and work closely with Data Engineering to put your solutions into practice.
Consult with functional analytics teams tasked with building predictive frameworks for their discrete business units.
Visualize time series data in intuitive ways for a non-technical audience.
Contribute to a machine learning framework to measure and predict Spotify user lifetime value metrics.
Support Finance leadership with research on key business initiatives and challenges.
Who you are

Degree in Computer Science/Engineering, Mathematics, Statistics, Economics, Econometrics, or another quantitative field.
Minimum 3 (5+ preferred) years of relevant experience, particularly in forecasting time series using Python, SQL, Scala, and/or R.
Experience with feature engineering for machine learning models.
Knowledge of Google BigQuery and Java/Scala is a plus.
Comfort operating independently in a fast-paced work environment.
We believe that everyone should enjoy their job, so we live by a work hard, play hard ethos. Spotify is a positive, fun, high-energy work environment that you’ve always wanted to be part of!",https://indeed.com//rc/clk?jk=41922d3ad138c2db&fccid=fe404d18bb9eef1e&vjs=3
7,Data Scientist,Tradeweb Markets LLC,"New York, NY 10036",,"Job Responsibilities:
Responsible for helping build quantitative data models for Credit products
Develop data tools to help optimize large data sets for internal and client use
Maintain and enhance pricing algorithms
Develop in Python, SQL, and Tableau
Manage multiple projects at once which are global, business aligned or group level initiatives
Communicate with both internal stake holders and clients to inform them on new product enhancements and releases
Present to senior management on updates to the product development in a timely manner

Bachelor’s Degree in Computer Science, Information Science, Applied Mathematics, or Engineering preferred or equivalent work experience
1-2 years’ experience working in quantitative data analytics in the Financial Services industry, preferably Fixed Income Markets
Experience building and updating data models and databases
Strong development background in Python, SQL and Tableau
Excellent communication and technical writing skills including the ability to summarize and identify key messages targeted to both technical and non-technical audiences
Excellent project management skills
Ability to thrive independently and in team settings
About Tradeweb Markets:
Tradeweb Markets Inc. (Nasdaq: TW) is a leading, global operator of electronic marketplaces for rates, credit, equities and money markets. Founded in 1996, Tradeweb provides access to markets, data and analytics, electronic trading, straight-through-processing and reporting for more than 40 products to clients in the institutional, wholesale and retail markets. Advanced technologies developed by Tradeweb enhance price discovery, order execution and trade workflows while allowing for greater scale and helping to reduce risks in client trading operations. Tradeweb serves approximately 2,500 clients in more than 60 countries. For more information, please go to www.tradeweb.com.
Tradeweb Markets LLC (""Tradeweb"") is proud to be an EEO Minorities/Females/Protected Veterans/Disabled/Affirmative Action Employer.
https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf",https://indeed.com//rc/clk?jk=f600c7d83c14e3e5&fccid=368c8a280b1e8cde&vjs=3
8,"Data Scientist, Analytics, Intern",Facebook,"New York, NY 10017 (Midtown area)",,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.
RESPONSIBILITIES
Perform large-scale data analysis to extract useful business insights
Identify actionable insights, suggest recommendations and influence the direction of the business by communicating results to cross-functional groups
Work closely with a Product Manager and Engineering team to proactively create rule and manage decisions
Classify leads so that the teams work on the most valuable cases
Suggest improvements in the tools and techniques to help scale the team
MINIMUM QUALIFICATIONS
Currently has, or is in the process of obtaining, a Bachelors, Masters or PhD degree in Computer Science, Applied Mathematics, Statistics, Economics, or related technical field
Experience in solving analytical problems using quantitative approaches (or equivalent)
Experience with SQL or other programming languages (Python, Java, and/or C++)
Development experience in at least one scripting language (PHP, Perl, Python, etc.)
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
PREFERRED QUALIFICATIONS
Intent to return to degree-program after the completion of the internship
Curious, self-driven, analytical and excited to play with data
Ability to thrive in a fast paced work environment
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.",https://indeed.com//rc/clk?jk=1eb7e96ae99c871d&fccid=1639254ea84748b5&vjs=3
9,Data Scientist,National Debt Relief,"New York, NY 10004 (Financial District area)",,"Who We’re Looking For:
National Debt Relief (NDR) is currently seeking an inquisitive, highly motivated, and creative Data Scientist who is passionate about helping customers get out of debt. The ideal candidate will have hands on experience transforming unique data into amazing products. At scale.

At NDR you will have access to an enormous amount of high-value business activity data including unstructured and semi-structured records around the sales process as well as post sales customer activity. You will participate in the end-to-end processes of machine learning, from proof of concept to deploying models in production. You will be asked to experiment, and conduct research work geared towards new product development.
Principle Duties & Responsibilities:Work with large, complex datasets and solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, data processing, analysis, and deployment to production.Research and develop models to improve the quality of NDR user facing products; example application areas include lead scoring and end-user behavioral modeling.Make business recommendations with effective presentations of findings at multiple levels of the business through visual displays of quantitative information.Develop processes and tools to monitor and analyze model performance and accuracyInteract cross-functionally with a wide variety of leaders and teams and work closely with Engineers and Product Managers to identify opportunities for improvement.Be fiercely competitive and maintain a sense of urgency, creativity, and curiosity for how to continue to improve internal and customer facing processes.
Qualifications:BA/BS in a quantitative discipline (Computer Science, Statistics, Bioinformatics, Math, Physics, Engineering) or an equivalent practical skillset.Industry experience writing code (e.g., Python, Pytorch, SQL) and taking ML models/ algorithms to production.3+ years of expertise using advanced machine learning algorithms and statistics: clustering, decision tree learning, ensemble methods, regression, etc. on large data sets as well as a strong understanding of their real-world advantages/drawbacks. The successful candidate will have regularly used Python and SQL to extract data, design ETL flows and derive insights.A love for data - this is what we do. We are looking for people who are excited about different and unique data sets, and all the ways that they could be used to improve our business.Demonstrated skill in selecting the right statistical tools given a data analysis problem.Excellent written and verbal communication skills for coordinating across teamsStartup experience while not essential is preferred.
What We Offer:
We believe in a team-first culture, full of rewards and recognition for our employees. We are dedicated to our employees’ success and growth within the company, through our employee mentorship and leadership programs.
Our extensive benefits package includes:
Generous Medical, Dental, and Vision Benefits
401(k) with Company Match
Paid Holidays, Volunteer Time Off, Sick Days, and Vacation
10 weeks Paid Parental Leave
Pre-tax Transit Benefits
Discounted Gym Membership
Citi Bike Annual Membership Discounts
No-Cost Life Insurance Benefits
Voluntary Benefits Options
ASPCA Pet Health Insurance Discount
About National Debt Relief:
National Debt Relief is one of the country’s largest and most reputable debt settlement companies. We are made up of energetic, smart, and compassionate individuals who are passionate about helping thousands of Americans with debt relief. Most importantly, we’re all about helping our customers through a tough financial time in their lives with education and individual customer service.
We are dedicated to helping individuals and families rid their lives of burdensome debt. We specialize in debt settlement and have negotiated settlements for thousands of creditor and collections accounts. We provide our clients with both our expertise and our proven results. This means helping consumers in their time of hardship to get out of debt with the least possible cost. It can also mean conducting financial consultations, educating the consumer, and recommending the appropriate solution. Our core services offer debt settlement as an alternative to bankruptcy, credit counseling, and debt consolidation. We become our clients' number one advocate to help them reestablish financial stability as quickly as possible.
National Debt Relief is a certified Great Place to Work®!
National Debt Relief is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law.",https://indeed.com//rc/clk?jk=bfdbc9e51b1e2f04&fccid=27ddc4a519a697f9&vjs=3
