job_title,job_category,company,location,region,salary,link,summary
Behavioural Research Scientist - Brain Performance & Nutrition,Research Scientist,CSIRO,Adelaide SA,South Australia,"$98,000 - $106,000 a year",https://au.indeed.com//rc/clk?jk=bb7ad50949972d53&fccid=f6e6c4d709d8e570&vjs=3,"The Opportunity
Help improve health outcomes for the Australian community
Investigate links between human nutrition, cognitive function & brain health
Join our small, dedicated team at CSIRO & make a difference!
As a Research Scientist in Brain Performance and Nutrition, you will provide specialised project and thought leadership as part of the Nutrition and Health Program’s clinical trials capability. Focussing on the impact of nutritional interventions on cognitive and brain-health, research outcomes will be considered in relation to physiological, biological and genetic factors where possible.
You will have well developed behavioural science skills and a developing track record in the areas of brain health and nutrition. Leveraging your client-focussed approach, you will work closely with relevant stakeholders in the health and food industry, and with the community in general.
The CSIRO nutrition and health research clinic conducts a variety of large-scale human nutrition intervention studies. This multidisciplinary team has expertise in the conduct of human clinical trials in a range of areas including cognitive function and brain-health, obesity and metabolic health, and gut health. The opportunity has arisen for a suitably experienced scientist to expand our expertise relevant to brain health and performance.
Your duties will include
 Incorporating novel approaches to the scientific investigation of the links between human nutrition, cognitive function and brain health.
 Contributing to existing, and securing and leading new projects and trials.
 Maintaining an in-depth familiarity with recent advances in domains that are applicable to the study of food, nutrition and cognitive health.
 Producing high quality research outputs suitable for publication and presentation.
 Liaising with existing and new clients to determine their needs and taking personal responsibility for client satisfaction.
 Assisting in the planning and preparation of research proposals and undertaking experimental and/or observational research activities.
 Recognising opportunities for innovation and generating new theoretical perspectives.
 Pursuing new ideas/approaches and networking with scientific colleagues across a range of disciplines.
Location: Adelaide, South Australia
Salary: *AU$98k - AU$106k per annum, plus up to 15.4% superannuation
Tenure: Specified term of 3 years
Reference No.: 62301
To be considered you will hold a PhD in a relevant discipline area, such as psychology, neuroscience or related behavioural science, or hold a relevant Master’s degree with commensurate research experience. You will also have:
 A record of science innovation and creativity.
 A developing track record of research outputs (presentations and publications) with a focus on brain health and nutritional science, demonstrating strong communication skills.
 Experience in evaluating the impact of interventions on cognitive or other brain health-related outcomes.
 Experience in the administration of cognitive and/or other neuropsychological assessments.
 Evidence of advanced statistical skills using software packages relevant to behavioural science.
 Experience in the analysis of large datasets, including cohort studies.
The successful applicant will be required to obtain and provide a National Police Check or equivalent.
To see all the criteria required for success in this role, click on the ‘Position Details’ link below. Apply today!
Position Details
Note: depending on circumstances, a postdoctoral appointment (incl. formal training program) may be considered for candidates who hold a PhD and have less than 3 years of relevant postdoctoral experience. Salary: AU$86k to AU$94k per annum. In this case, duties will be undertaken under supervision or guidance, and the successful candidate will not secure and lead new projects and trials independently.
Flexible Working Arrangements
We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance
CSIRO’s Commitment to Diversity
We’re working hard to recruit diverse people and ensure all our people feel supported to do their best work and empowered to let their ideas flourish. D&I Strategy
About CSIRO
At CSIRO we solve the greatest challenges through innovative science and technology. We pride ourselves on hiring the best talent – bold change-makers, imaginative problem solvers and people driven by impact, whose creativity and skills match their enthusiasm for science and innovation.
Join us and start creating tomorrow today!
Apply Online
To apply online, please provide a CV and cover letter addressing the selection criteria, and outlining your suitability for the role and your motivations for applying.
Applications Close
Wednesday 13 November, 2019 (11:00pm AEDT)"
PERMANENT SSO4 - OPEN ACCESS COLLEGE - STUDENT SERVICES AND BUSINESS INTELLIGENCE LEADER,Business Intelligence,Department for Education and Child Development (DE...,Marden SA,South Australia,"$78,790 - $82,429 a year",https://au.indeed.com//rc/clk?jk=c7f13ed242366727&fccid=f705c0ac4efd7497&vjs=3,"Position Descriptor:
Please note the salary amount may differ from that advertised. Salary is dependent upon your current employment status with the Department for Education, tenure and hours per week. The salary stated is based on an employee working 52 weeks per annum, full time equivalent. The successful applicant will be employed under the appropriate mode of employment. For application requirements, please refer to the application instructions.

Please note that part time and flexible arrangements will be considered.

Site: OAC Marden Campus

Local Partnership: Central East

Tenure: 21/01/2020 ongoing

Hours Per Week: 37.5

Roster: (may be negotiable) Mon Tue Wed Thu Fri Sat Sun

Starting 20/01/2020 7.50 7.50 7.50 7.50 7.50 0.00 0.00

Classification: SSO04 - SSO Level 4

Conditions: $78,790 - $82,429 per annum FTE / Leave Conditions

Major Function(s) / Skill(s): Student Services
Competent Data Management

Information: Mark Hill phone 8309 3500

School Website: http://www.openaccess.edu.au"
Data Analyst,Data Analyst,Data Driven Analytics,Adelaide SA,South Australia,$60 - $80 an hour,https://au.indeed.com//company/Data-Driven-Analytics/jobs/Data-Analyst-35a154ae66287e5b?fccid=a76cb472a85fab7f&vjs=3,"We are in the search for a Data Analyst who has a solid experience in providing high quality data analysis and reporting services.He or she must be equipped with using analytics tools such as Microsoft SQL Server, SQL Server Integration Services, Microsoft Excel including VBA, and PowerBI, and a significant working knowledge of relational databases. There is also an expectation with the right candidate to transit into a Data Scientist in the future.Aside from the technical skills required, we need someone who can deliver priorities in a fast-paced environment and has the ability to collaborate effectively to technical and non-technical staff in driving winning results. Some of the key characteristics required for this role is effective task prioritization, time management, and ensuring timely delivery of the project as required.Due to a baseline clearance requirement for the role, only Australian Citizens can apply. Please state this in your application.The successful candidate is required to start by November 1, 2019 and amenable to work in Adelaide, South Australia.Job Type: ContractSalary: $60.00 to $80.00 /hourExperience:Data Analysis: 1 year (Preferred)Location:Adelaide SA (Required)"
Data Analyst,Data Analyst,SoftLabs Pty Ltd,Adelaide SA,South Australia,$60 - $75 an hour,https://au.indeed.com//company/SoftLabs-Pty-Ltd/jobs/Data-Analyst-9a1f44a51be2985d?fccid=6e9d8503d7b3ea84&vjs=3,"SoftLabs is looking for a Data Analyst to join their Technology Consulting team in AdelaideAbout the Role You will report to the Senior Data Analystundertaking the business intelligence and reporting functions of the team;developing and maintaining a range of reports and analytics products for both internal and external stakeholders;undertaking transaction analysis for data security and compliance activities; andproviding a high level of support, senior management, team membersEssential Skills and Experience demonstrated experience in providing high quality data analysis and reporting services;proven ability with analytics tools such as Microsoft SQL Server, SQL Server Integration Services, Microsoft Excel including VBA, and PowerBI;demonstrated understanding of relational databases;demonstrated ability to manage competing priorities in a fast-paced environment;demonstrated ability to liaise and negotiate with technical and non-technical staff to achieve results;proven ability to build and maintain productive working relationships with internal and external stakeholders;proven ability to anticipate and establish priorities, monitor progress and work to deliver required corporate outcomes within set timeframes.The role is only for Australian Citizens with ability to obtain baseline clearance. Only shortlisted applicants will be contacted.Job Type: ContractSalary: $60.00 to $75.00 /hourWork Eligibility:The candidate can work permanently with no restriction on hours (Required)"
Data Analyst,Data Analyst,Finite IT,Adelaide SA,South Australia,$75 - $85 an hour,https://au.indeed.com//rc/clk?jk=84c2205e8ec55698&fccid=8ea6dbf86d77fd6e&vjs=3,"Finite is Australia’s leading IT ‘recruiter of choice’, the company was born from a desire to offer recruitment expertise and IT jobs on a specialist basis to information technology jobseekers and employers. The focus of every consultant at Finite is their commitment to customer service and delivery to both employers and candidates alike.
The Role:
Undertaking the business intelligence and reporting functions of the teamDeveloping and maintaining a range of reports and analytics products for both internal and external stakeholdersUndertaking transaction analysis for data security and compliance activitiesProviding a high level of support to senior management, team members and other office staff.
Skills and experience required:
Experience in providing high quality data analysis and reporting servicesProven ability with analytics tools such as Microsoft SQL Server, SQL Server Integration Services, Microsoft Excel including VBA, and Power BIUnderstanding of relational databasesAbility to liaise and negotiate with technical and non-technical staff to achieve results and maintain productive working relationships with internal and external stakeholdersDue to nature of the role we are seeking for candidates who have a current Security Clearance or able to apply for it.
What's Next?
Please submit a copy of your CV in Word Format. We will call suitable candidates within 24 hours due to the deadline set by the client. Please submit your application on or before COB 7th October 2019.
For a confidential chat, call Finite Group on 08 8224 3800.

(GW)46119"
Senior Data Analyst,Data Analyst,Finite IT,Adelaide SA,South Australia,"$140,000 - $160,000 a year",https://au.indeed.com//rc/clk?jk=4da90e24621e8947&fccid=8ea6dbf86d77fd6e&vjs=3,"Finite is Australia’s leading IT ‘recruiter of choice’, the company was born from a desire to offer recruitment expertise and IT jobs on a specialist basis to information technology jobseekers and employers. The focus of every consultant at Finite is their commitment to customer service and delivery to both employers and candidates alike.

The Role:
Able to identify issues and opportunities for data analysis and research for various stakeholdersDevelop programs / algorithms and automate processes to cleanse & evaluate large data sets.Make recommendations for the collection of new data or the refinement of existing data sources and storageProvide best practice to deliver qualitative and quantitative improvements to the analytics and process modelling functions

Skills and experience required:
Relevant tertiary qualifications in IT, Computer Science or similar5+ years’ experience in supporting significant reporting and analytical capabilitiesExcellent knowledge big data technologies for e.g. Map/Reduce, Hadoop, Hive, etc.Ability to liaise and negotiate with technical and non-technical staff to achieve results and maintain productive working relationships with various stakeholdersUnderstanding of incident and change management processesWell versed with relational/non-relational data manipulation, machine learning, and scientific statistical analysisAbility to manipulate and analyse complex and high-volume data and metadata from varying sources

What's Next?
If you are an experienced Senior Data Analyst who is looking for your next role based in Adelaide, then click the Apply Now button and submit your CV in Word Format.

(GW)46428"
Research Scientist in Global Change Ecology,Research Scientist,CSIRO,Perth WA,Western Australia,"$113,000 - $132,000 a year",https://au.indeed.com//rc/clk?jk=31d409a5af24efae&fccid=f6e6c4d709d8e570&vjs=3,"The Opportunity
Undertake dynamic research for managing invasive species and global environmental change
Exciting opportunity for someone transitioning from an early- to mid-career role
Provide science leadership within Ecosystem Change Ecology team
In this position you will conduct innovative research using the latest advances in ecology, remote sensing and plant-animal interactions. With a focus on developing science-based solutions for invasive species management, your research may involve:
elucidating ecological impacts of invasive species,
identifying interventions for invasive species management,
empirical research on ecology and ecophysiology of focal invasive species, and
mitigating the impact of global environmental change on invasive species threats.
Leading components of existing projects and providing scientific leadership on new projects, you will collaborate across Australia and internationally. You will ensure timely and successful delivery on key milestones of externally-funded projects in close collaboration with scientists across CSIRO and in other institutions.
With skills in biosecurity (as it relates to invasive species management), plant ecology and plant-herbivore interactions, you will provide leadership to the Ecosystem Change Ecology team based in Perth, Western Australia, which has strong links with the University of Western Australia via collaborative research and student supervision.
Your duties will include
 Devising strategy and assuming overall scientific responsibility for research and interpretation of results.
 Contributing to fieldwork across a range of ecosystems, including in remote locations in Australia and overseas.
 Interacting positively and working collaboratively with internal and external colleagues, partners and customers.
 Anticipating industry and/or community needs and market direction through client liaison/networking.
 The use of professional expertise, knowledge of other disciplines and research experience/achievement to formulate, develop and complete an approved research program.
 Providing advice to policy makers and transferring knowledge to key stakeholders.
Translating research outputs into high impact on-ground outcomes.
 Publishing research results and presenting findings to clients, non-scientific audiences and the scientific community, at national and international conferences and meetings.
 Leading, supervising and mentoring staff to deliver research projects within the agreed timeframes and budget.
Location: Floreat (Perth) Western Australia
Salary: AU$113k – AU$132k per annum, plus up to 15.4% superannuation
Tenure: Specified term of 5 years, with the possibility of extension
Reference No.: 62579
The position is best suited to someone transitioning from an early- to mid-career role. To be considered you will hold a doctorate and/or have equivalent research experience in a relevant discipline area, such as plant ecology or plant-animal interactions, preferably in the context of invasive species management and/or global environmental change. You will also have:
 Strong and collaborative communication skills and a history of professional behaviours.
 Substantial postdoctoral experience and a strong record of publication in high quality, peer reviewed journals.
 Theoretical, conceptual and practical knowledge in applied ecology relevant to invasive species management.
 The ability to lead projects focused on delivering science-based solutions for stakeholders.
 Laboratory- and field-based research experience in relation to plant population and/or community ecology in terrestrial ecosystems, and a willingness to undertake remote field work.
 A record of science innovation and creativity
 The ability to lead and work effectively within a multi-disciplinary, multi-location research team, and carry out independent individual research.
 A current Australian Class ‘C’ driver’s licence (or equivalent).
The successful applicant will be required to obtain and provide a National Police Check or equivalent, and will undertake a medical examination prior to commencement.
To see all the criteria required for success in this role, click on the ‘Position Details’ link below. Apply today!
Position Details
Flexible Working Arrangements
We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance
CSIRO’s Commitment to Diversity
We’re working hard to recruit diverse people and ensure all our people feel supported to do their best work and empowered to let their ideas flourish. D&I Strategy
About CSIRO
At CSIRO we solve the greatest challenges through innovative science and technology. We pride ourselves on hiring the best talent – bold change-makers, imaginative problem solvers and people driven by impact, whose creativity and skills match their enthusiasm for science and innovation.
Join us and start creating tomorrow today!
Apply Online
Candidates are asked to view all pre-requisites and criteria outlined under ‘Selection Criteria’ on the ‘Position Details’ document at the link above. When applying, please upload your CV where indicated, and also upload a covering letter which includes responses to the abovementioned criteria.
Applications Close
Sunday 3 November, 2019 (11:00pm AEDT)"
ASTRO 3D Research Scientist in HI Surveys,Research Scientist,University Of Western Australia,Crawley WA,Western Australia,"$93,653 a year",https://au.indeed.com//rc/clk?jk=0ddb97c3ae55540d&fccid=fc5f8739f9dfb759&vjs=3,"Faculty of Engineering and Mathematical Sciences

School of Physics, Maths and Computing

International Centre for Radio Astronomy Research (ICRAR)

3 year appointment on a full time basis
Salary range: Level A step 8, $93,653 p.a. plus 17% superannuation
The University of Western Australia (UWA) is ranked amongst the top 100 universities in the world and a member of the prestigious Australian Group of Eight research-intensive universities. With an enviable research track record, vibrant campus and working environments, supported by the freedom to ‘innovate and inspire’ there is no better time to join Western Australia’s top University.

About the team

ICRAR is a WA State funded high profile equal joint venture established in 2009 between Curtin University and The University of Western Australia (UWA). The Centre’s headquarters are located at UWA, with research nodes at both UWA and Curtin. ICRAR is one of the lead Australian organisations participating in the international Square Kilometre Array (SKA) Project. ICRAR has been further funded from 2019 to 2024 with $60 Million by the WA State Government and equal contribution from the Joint Venture Universities. ICRAR is one of the largest astronomy organisations in Australia.

ASTRO 3D is a $40m Research Centre of Excellence led by Professor Lisa Kewley. ASTRO 3D is funded over seven years by the Australian Research Council and supported by six collaborating Australian universities - ANU, University of Melbourne, University of Sydney, Swinburne University of Technology, University of Western Australia and Curtin University. Other Australian partners in the Centre include CSIRO, the Australian Astronomical Observatory and National Computational Infrastructure. ASTRO 3D includes collaborations with world leading international institutions.

The ASTRO 3D mission is to produce a comprehensive picture of the evolution of matter, the chemical elements, and ionizing radiation in the Universe from shortly after the Big Bang to the present day. ASTRO 3D trains the next generation of scientific leaders and conducts nationwide education and public outreach programs.

About the opportunity

This ASTRO 3D research position will be based at ICRAR/UWA and the focus is the WALLABY survey now being conducted with the Australian SKA Pathfinder (ASKAP) telescope by a team of over 100 national and international researchers. WALLABY is focused on studying the atomic hydrogen content of around 500,000 galaxies in the local Universe. Possible research areas include: Local Group galaxies and high-velocity clouds; the kinematics of Local Volume galaxies; environmental influences on galaxy interactions; galaxy formation and evolution, and cosmology. The UWA node of ASTRO 3D hosts the WALLABY principal investigator Professor Lister Staveley-Smith, project manager Dr Tobias Westmeier, science working group leaders Drs Barbara Catinella, Bi-Qing For, Luca Cortese and Ivy Wong, and strongly collaborates with other WALLABY and ASTRO 3D researchers based at other institutes. This vibrant project strongly connects with other ICRAR and ASTRO 3D observational and theoretical projects, and is an exciting precursor of science with the forthcoming Square Kilometre Array.

To be considered for this role, you will demonstrate:

PhD in astronomy or related discipline
Expertise in area of astronomy relevant to the ASKAP WALLABY survey
Proficiency in verbal and written communication
Good publication record as evidenced by international refereed publications
Demonstrated ability to work effectively in distributed scientific collaborations
An understanding of equal opportunity principles and policies and a commitment to their application in a university context
Full details of the position's responsibilities and the selection criteria are outlined in the position description.

Benefits: University offers 17% Superannuation benefits and support for relocation to Perth if required.

Closing date: Friday, 15 November 2019

This position is open to international applicants.

Application Details: Please apply online via the Apply Now button.

Applicants should clearly demonstrate that they meet the selection criteria. Applications must include a cover letter (addressing the selection criteria), curriculum vitae, publication list, and a brief (3 pages maximum) statement of research interests that includes a summary of relevant experience and a research plan focussed on the WALLABY survey.

Applicants should also arrange to have two letters of reference sent to Dr. Barbara Catinella (barbara.catinella@uwa.edu.au) by the application deadline of 15 November 2019."
Data Scientist,Data Scientist,Launch Recruitment,Perth WA,Western Australia,$591 a day,https://au.indeed.com//rc/clk?jk=7390bf433cadcace&fccid=21837afcb153c44d&vjs=3,"Data Scientist - Perth - 6 Month Contract - Day Rate: $590.9 inc. Super

The Role:
Generating business insights through discovery and exploration of multiple structured and unstructured sources
Creating, running and maintaining ETL processes within a big data environment
Applying state-of-the-art data science algorithms and methods to provide practical solutions that deliver tangible business value
Confidently presenting ideas, results and recommendations to internal stakeholders
Working collaboratively with the larger data analytics team and subject matter experts
Keeping up-to-date with latest trends and best practices in Data Science.

Skill Set:
Variety of machine learning and statistical modelling techniques (both supervised and unsupervised), e.g. text mining, streaming analytics, clustering, deep learning and their real-world implications
Story telling using different forms of data visualization
Descriptive, diagnostic, predictive, and prescriptive modelling
Structured and Unstructured data mining
Dimensionality reduction and feature engineering
Automation of data pre-processing, wrangling, preparation and other ETL processes
SQL skills
Experience with big data technology
Experienced within a project management framework and mindset
Experience in working with variety of stakeholders and people with different areas of expertise
Experience in structured problem solving approaches to generate business value through analytics
A relevant tertiary qualification (Master's degree in Computer Science, Statistics, applied math, or related discipline) is advantageous
You will need full Australian Working Rights to be eligible for this role.
Contact Ged Wilson for more information"
Data Analyst,Data Analyst,Michael Page,Perth WA,Western Australia,"$85,000 - $100,000 a year",https://au.indeed.com//rc/clk?jk=7610946681a8301b&fccid=77087bd1709a8148&vjs=3,"Opportunity to work with emerging technology

Growth organisation

About Our Client
Our client is a solution focused business operating within some of WA's largest businesses. It gains drives success from focus on delivery and experience to its clients.

Job Description
The key responsibilities include:

Collect, interpret and understand statistical data.
Undertake process analysis and focus on business improvement.
Identify and interpret trends within data.
Acquire data from primary or secondary sources.
The Successful Applicant
The client is looking for the following skills:

3 to 5 years experience working with data.
Experience working with business process.
Knowledge of reporting packages including (Business Objects and SQL).
Strong analytical skills and communication ability.
What's on Offer
This is a permanent opportunity, the client is open to candidates with all relevant experience.

Contact:
Ryan Jones"
